CPU Split,GPU Split,TPU Split,CPU Time,GPU Time,TPU Time,Theoretical Sum,Actual Sum,Discrepancy
0,0,10,0,0,79982.1666,79982.1666,95740.7611,1.197026352
0,1,9,0,1697.12,70819.393,72516.513,86562.6717,1.193696003
0,2,8,0,1697.4877,65692.0994,67389.5871,81442.2896,1.208529286
0,3,7,0,1789.2365,55413.3429,57202.5794,71115.0272,1.243213644
0,4,6,0,1768.8745,48198.9048,49967.7793,63914.252,1.279109316
0,5,5,0,1773.8239,40379.1297,42152.9536,56086.9238,1.330557387
0,6,4,0,1829.9651,31170.2251,33000.1902,46909.6464,1.421496243
0,7,3,0,1850.8443,23297.5547,25148.399,39009.8427,1.55118593
0,8,2,0,1882.2533,15838.1288,17720.3821,31596.7408,1.783073335
0,9,1,0,1897.0399,8047.0872,9944.1271,23741.9186,2.387531692
0,10,0,0,2333.8279,0,2333.8279,8016.1368,3.434759178
1,0,9,332.8563,0,72119.7177,72452.574,87854.2482,1.212575942
1,1,8,352.2617,2048.6015,64574.6115,66975.4747,80329.5188,1.199387077
1,2,7,371.1094,1950.6679,56052.2944,58374.0717,71837.7149,1.230644237
1,3,6,337.4553,5294.689,46556.1116,52188.2559,62328.9967,1.194310782
1,4,5,383.3825,1847.036,40030.7017,42261.1202,55764.9172,1.319532396
1,5,4,351.9627,1907.9194,31143.8468,33403.7289,46869.2312,1.403113746
1,6,3,384.7583,3962.8844,24123.8948,28471.5375,39844.529,1.399451259
1,7,2,330.5075,2073.1171,16193.5599,18597.1845,31925.0111,1.716658298
1,8,1,326.044,4202.2385,8073.6364,12601.9189,23784.4129,1.887364384
1,9,0,376.5457,1969.4691,0,2346.0148,10844.8087,4.622651443
2,0,8,357.7221,0,62753.7066,63111.4287,78514.0721,1.244054741
2,1,7,361.3511,3892.4361,56008.9491,60262.7363,71750.9206,1.19063496
2,2,6,358.3658,3869.5262,48102.5513,52330.4433,63825.1749,1.219656683
2,3,5,406.9672,1811.784,40156.766,42375.5172,55883.8988,1.318777976
2,4,4,363.2074,1829.9541,33013.4887,35206.6502,48741.073,1.384428019
2,5,3,348.0432,2040.2739,24554.9555,26943.2726,40288.2943,1.495300697
2,6,2,332.1444,1927.3822,15565.1888,17824.7154,31317.0857,1.756947306
2,7,1,2786.7752,3925.0202,8109.5127,14821.3081,23844.2542,1.608782035
2,8,0,443.8311,2367.9213,0,2811.7524,11382.4746,4.04817814
3,0,7,336.295,0,55214.7128,55551.0078,70924.1412,1.276739055
3,1,6,2558.0537,3689.6328,46316.6165,52564.303,62098.9416,1.181389994
3,2,5,416.1005,1810.3966,41008.1367,43234.6338,56731.4662,1.312176402
3,3,4,402.6832,3996.9753,32121.1588,36520.8173,47851.1082,1.310241986
3,4,3,407.1882,4011.0747,24087.7341,28505.997,39797.2125,1.396099652
3,5,2,388.5661,4016.6953,16410.8252,20816.0866,32131.141,1.543572604
3,6,1,379.2603,4084.08,8073.0012,12536.3415,23756.1333,1.894981347
3,7,0,3359.6926,7130.9431,0,10490.6357,16443.7795,1.567472169
4,0,6,364.4256,0,46523.1756,46887.6012,62275.6319,1.328189762
4,1,5,346.2696,4209.1404,40389.7354,44945.1454,56125.2161,1.248749239
4,2,4,446.394,4024.964,31793.8953,36265.2533,47519.265,1.310324916
4,3,3,2722.8748,3815.6979,24212.5886,30751.1613,39936.4758,1.298698134
4,4,2,362.5672,4035.2865,16052.2097,20450.0634,31766.9759,1.553392539
4,5,1,346.172,1918.8291,7758.6135,10023.6146,23497.7825,2.344242415
4,6,0,420.8815,4068.0071,0,4488.8886,11744.2057,2.616283616
5,0,5,357.5932,0,41707.0556,42064.6488,57408.3428,1.364764581
5,1,4,348.7423,1771.0862,31129.6115,33249.44,46879.8689,1.409944616
5,2,3,367.803,1797.9905,23324.9906,25490.7841,39048.8637,1.531881622
5,3,2,351.9438,1826.8448,15576.719,17755.5076,31285.0214,1.761989694
5,4,1,404.1026,1845.1315,7866.8967,10116.1308,23584.7567,2.331400925
5,5,0,370.1876,1886.9338,0,2257.1214,10987.6228,4.867980429
6,0,4,374.2271,0,31529.3231,31903.5502,47246.9617,1.480931163
6,1,3,373.7183,1752.4278,24425.6301,26551.7762,40133.535,1.511519783
6,2,2,361.7513,4140.1532,16896.0269,21397.9314,32604.2048,1.523708259
6,3,1,364.2647,4079.2375,8027.0082,12470.5104,23729.6855,1.902864016
6,4,0,352.6815,4077.0775,0,4429.759,11609.5762,2.620814405
7,0,3,419.2284,0,23820.2748,24239.5032,39512.8867,1.630102992
7,1,2,376.1122,1784.1236,15554.2054,17714.4412,31260.3369,1.764680949
7,2,1,402.9348,1877.1922,8043.7585,10323.8855,23764.3101,2.301876566
7,3,0,381.8683,3959.0987,0,4340.967,11579.9278,2.66759176
8,0,2,372.0107,0,15494.2092,15866.2199,31213.1591,1.967271303
8,1,1,409.1957,4062.1398,7773.1362,12244.4717,23527.4434,1.921474766
8,2,0,432.4945,3868.1198,0,4300.6143,10445.0394,2.42873196
9,0,1,399.344,0,7733.3823,8132.7263,23425.8233,2.880439159
9,1,0,428.0279,3909.7105,0,4337.7384,10838.9192,2.498748933
10,0,0,420.4154,0,0,420.4154,4654.9054,11.0721572